account_id,customer_id,account_type,account_date,cutoff_date,balance
adcc05bd-,63,checking,2019-10-08,2024-01-01,28821.27989863
bd25b547-,63,savings,2022-09-14,2024-01-01,9599.25077808
0271a0dd-,64,checking,2022-12-03,2024-01-01,41522.50143854
bcfec7fb-,64,business,2022-07-28,2024-01-01,17068.40627827
74fcac59-,64,checking,2023-04-14,2024-01-01,33793.53681709
f796f357-,65,savings,2023-08-02,2024-01-01,24395.250826
58e6e068-,66,savings,2021-06-04,2024-01-01,13778.47857621
a843c568-,67,checking,2023-12-18,2024-01-01,37934.07593729
e29f2491-,68,checking,2023-12-04,2024-01-01,29540.57682619
3a56e5d4-,68,business,2023-12-15,2024-01-01,1560.35097551
8203f9d5-,69,checking,2021-03-07,2024-01-01,34945.66093071
944b4309-,69,savings,2021-03-31,2024-01-01,33721.51962513
6e66a1ee-,69,checking,2021-10-28,2024-01-01,16033.51075818
75a472f1-,70,business,2023-07-23,2024-01-01,25623.50309068
51daf4f3-,70,business,2023-12-06,2024-01-01,38722.21132545
0cddd15e-,71,savings,2023-11-22,2024-01-01,32296.85493477
fce7383a-,71,checking,2023-11-17,2024-01-01,19009.65125201
02fe6a08-,71,savings,2023-11-23,2024-01-01,11737.30144583
abddebee-,72,checking,2023-07-06,2024-01-01,8506.09266977
23f19442-,73,business,2022-11-05,2024-01-01,19307.61725736
ab211bec-,73,business,2022-08-03,2024-01-01,27912.4909321
92861dbe-,73,checking,2021-10-20,2024-01-01,38110.17564191
60c2e4b8-,74,savings,2023-11-30,2024-01-01,38331.12137858
b05ac574-,74,business,2023-12-10,2024-01-01,37982.23793652
015f5411-,74,savings,2023-06-13,2024-01-01,26749.82615479
e9e2950f-,75,business,2019-08-01,2024-01-01,18727.45855769
c39a6f3f-,75,business,2021-02-08,2024-01-01,6498.23078533
f1688ab9-,75,business,2022-11-29,2024-01-01,45241.51985175
4f9e2a3a-,76,business,2019-03-21,2024-01-01,27296.34775477
da6732b5-,77,checking,2023-12-24,2024-01-01,42869.81436235
045a69de-,78,savings,2021-12-09,2024-01-01,34334.46665901
da8efd1a-,78,business,2023-10-18,2024-01-01,29574.23624361
eb8d1d0f-,79,business,2022-07-30,2024-01-01,22828.65191717
a67c3359-,80,checking,2021-09-30,2024-01-01,7465.27265123
8552b4b7-,81,checking,2023-08-21,2024-01-01,28631.64806984
d02b8226-,81,business,2021-05-10,2024-01-01,23656.53698121
09bac9ca-,82,business,2022-04-30,2024-01-01,2066.75243677
de5239af-,82,checking,2021-10-01,2024-01-01,41006.20807072
2af15b17-,83,savings,2023-10-20,2024-01-01,29337.25198789
6b1dff2e-,83,savings,2023-09-03,2024-01-01,21761.17185415
b7f63e0f-,83,business,2023-08-03,2024-01-01,4124.23569349
a78effd5-,84,savings,2023-07-25,2024-01-01,49320.72515603
1b7f7b16-,85,savings,2021-12-25,2024-01-01,15067.44463767
b0041594-,85,savings,2021-12-16,2024-01-01,38679.63106659
7973fa6a-,86,business,2022-12-01,2024-01-01,32648.16008676
269c4842-,86,checking,2023-07-01,2024-01-01,19348.58511128
7c68f799-,86,checking,2023-06-23,2024-01-01,22978.31950047
1e1df327-,87,checking,2021-01-24,2024-01-01,4932.24963884
31046cdb-,87,business,2022-10-06,2024-01-01,43853.13236286
3905e051-,88,business,2023-06-07,2024-01-01,43154.04247523
f1996d1b-,89,savings,2020-03-01,2024-01-01,49649.4920278
a39a1c45-,90,business,2023-12-29,2024-01-01,7240.00727881
1b64ff61-,90,savings,2023-05-16,2024-01-01,41906.25897177
e858739b-,91,checking,2023-05-16,2024-01-01,23687.19115854
d409f83b-,92,business,2023-11-18,2024-01-01,21782.27345694
87d349c2-,92,checking,2023-10-25,2024-01-01,41344.66143141
d6408a67-,92,savings,2023-12-12,2024-01-01,23570.63864888
acb59c27-,93,checking,2021-04-20,2024-01-01,10235.5421106
d047e97a-,94,savings,2023-06-11,2024-01-01,2578.64843059
051f38c0-,94,business,2023-07-24,2024-01-01,21542.7893261
dbebc7df-,94,savings,2023-10-11,2024-01-01,12792.64841302
d28cbc33-,95,savings,2023-08-22,2024-01-01,30103.26322649
c27fc17c-,96,business,2023-09-15,2024-01-01,33929.15820674
b8ec7cf9-,96,savings,2022-11-26,2024-01-01,12991.9734097
84dc3732-,97,checking,2021-08-25,2024-01-01,22509.17776289
35944878-,98,savings,2020-06-19,2024-01-01,37964.89972862
c5e32dde-,98,savings,2019-02-17,2024-01-01,7866.64318063
9cb551bd-,98,checking,2020-05-14,2024-01-01,12473.91433994
49d7d52b-,99,business,2023-10-23,2024-01-01,16626.28112209
dc3f8a15-,99,business,2023-10-13,2024-01-01,38854.37241162
9a5c8019-,99,checking,2023-12-31,2024-01-01,12608.29770406
20435fd1-,100,business,2019-04-26,2024-01-01,26541.30165898
5bc94b07-,101,checking,2019-11-16,2024-01-01,14482.54210492
3bec4f83-,101,business,2023-03-23,2024-01-01,47477.49249631
391b3871-,102,savings,2023-09-14,2024-01-01,31673.66374477
c8edb157-,102,checking,2023-06-21,2024-01-01,28236.6826332
88710f03-,102,savings,2023-02-13,2024-01-01,48642.22153184
c10de794-,103,business,2018-06-02,2024-01-01,19676.57699067
1085e32f-,103,business,2020-10-26,2024-01-01,16617.9884085
f04bc849-,103,checking,2023-02-23,2024-01-01,21004.69966465
97ed59f6-,104,checking,2023-08-30,2024-01-01,10010.06995862
6dc0bf10-,104,business,2021-12-02,2024-01-01,24202.4222002
d3b63274-,105,checking,2023-12-25,2024-01-01,43019.52069008
0a41e9a8-,106,checking,2021-12-27,2024-01-01,45822.31751698
c9832276-,107,checking,2023-04-25,2024-01-01,48421.52323878
2e8b01c0-,107,business,2023-04-21,2024-01-01,26969.59888615
b5e0a982-,107,checking,2023-09-06,2024-01-01,12900.06728839
f8848ab9-,108,checking,2022-07-08,2024-01-01,32688.58672585
dda71fea-,109,checking,2023-11-27,2024-01-01,5530.73582982
e5878fa5-,109,business,2023-07-26,2024-01-01,41640.90797554
d8c53300-,110,checking,2023-11-01,2024-01-01,19481.23077311
85a7687f-,111,business,2020-01-19,2024-01-01,2937.83015614
f27f424b-,111,savings,2023-01-15,2024-01-01,10220.00140271
0b48ae9c-,111,business,2022-07-30,2024-01-01,36490.95675276
5d0d0ca3-,112,savings,2023-07-10,2024-01-01,24490.31611707
8e1f788a-,112,checking,2023-03-23,2024-01-01,15856.21325593
c7ee73fe-,112,savings,2023-08-17,2024-01-01,11378.5808304
9a6df09d-,113,business,2020-05-09,2024-01-01,6748.49377272
255a64f6-,114,savings,2022-10-05,2024-01-01,35085.68799954
eda6cb99-,114,business,2023-07-17,2024-01-01,11021.14400592
f042becc-,115,business,2020-03-20,2024-01-01,16759.13543254
68bdfb7b-,116,checking,2023-09-22,2024-01-01,23846.27258143
edf01fb8-,116,business,2021-12-21,2024-01-01,18603.71822203
b48fe247-,117,checking,2019-06-08,2024-01-01,26128.01046116
83bf857c-,117,checking,2019-02-24,2024-01-01,23834.19927829
b978a12b-,118,checking,2022-05-24,2024-01-01,38319.81949618
58376f27-,118,checking,2022-05-10,2024-01-01,45802.19444598
a047e23f-,118,checking,2020-10-07,2024-01-01,16333.17892464
5dcdd145-,119,business,2023-11-03,2024-01-01,43340.157232
aabd5952-,120,savings,2022-08-07,2024-01-01,1794.77514906
13f9d125-,120,business,2022-07-26,2024-01-01,46803.15426452
5d0b904c-,120,business,2022-12-01,2024-01-01,36280.58494971
c0f92a36-,121,savings,2023-08-09,2024-01-01,10613.39735361
81fd5938-,121,savings,2023-10-29,2024-01-01,19612.14896232
311f41f9-,122,checking,2023-07-09,2024-01-01,27981.48409334
0ae92485-,123,checking,2018-10-29,2024-01-01,13609.01112411
8e2fcfc7-,123,checking,2021-05-17,2024-01-01,48358.90509527
068f10ba-,123,business,2023-07-02,2024-01-01,37240.11044233
13279178-,124,savings,2018-11-18,2024-01-01,36905.83961423
b5d1496e-,124,checking,2023-03-22,2024-01-01,9294.01983215
5fcdaef7-,125,business,2023-08-25,2024-01-01,24927.49974145
1336fb64-,125,business,2023-09-11,2024-01-01,49525.85350311
3e34c22d-,125,savings,2023-12-07,2024-01-01,26673.2763548
d5268317-,126,business,2023-05-26,2024-01-01,3377.20531562
c8e4e962-,127,checking,2023-09-05,2024-01-01,7737.08499435
75160d99-,128,savings,2023-01-30,2024-01-01,4330.42914161
934e9dbc-,128,savings,2022-07-15,2024-01-01,1447.93162284
84fa7c75-,128,business,2021-11-27,2024-01-01,23344.4732896
e905865f-,129,business,2023-02-07,2024-01-01,32248.70099627
50e130b9-,130,checking,2023-05-02,2024-01-01,33304.9327575
accd5940-,130,savings,2021-08-18,2024-01-01,1324.00549262
5abed2dd-,130,business,2023-03-04,2024-01-01,21155.58690265
cfe6db8f-,131,business,2023-03-23,2024-01-01,36387.44335966
f0bc559c-,132,checking,2018-10-26,2024-01-01,1839.98728252
3b9b7cca-,132,business,2020-02-03,2024-01-01,34027.61465384
be06c9e6-,132,savings,2022-03-28,2024-01-01,6243.80500603
9638b118-,133,business,2018-10-23,2024-01-01,8295.97680127
cca2a219-,134,business,2023-10-16,2024-01-01,26796.34328461
f515047d-,135,checking,2021-07-26,2024-01-01,39951.88027209
cf6bbb48-,135,savings,2020-08-01,2024-01-01,19279.52758972
bb1eb427-,136,checking,2020-11-17,2024-01-01,28685.10693995
691ebcdb-,136,business,2022-08-17,2024-01-01,12067.00537874
c33676c1-,137,savings,2022-11-02,2024-01-01,33033.0502584
31482bb8-,137,business,2023-10-25,2024-01-01,38219.70665867
2f23cde4-,137,savings,2020-09-24,2024-01-01,20858.63660711
080793e2-,138,business,2018-04-23,2024-01-01,24324.24990646
1301cdad-,138,business,2021-03-27,2024-01-01,1463.05846005
bfa6615c-,139,savings,2023-04-11,2024-01-01,25493.06126253
9df5925b-,140,business,2022-11-13,2024-01-01,39434.43922872
b3e3d3c3-,140,business,2023-05-06,2024-01-01,48889.1319412
2ba43d6d-,141,business,2020-01-24,2024-01-01,46038.45855657
33ae6de2-,142,savings,2017-12-07,2024-01-01,45162.3749922
e0691fb3-,143,business,2022-07-27,2024-01-01,24299.51409462
c7bd916f-,143,savings,2022-06-17,2024-01-01,46283.80406382
22bbd2cb-,143,business,2023-07-18,2024-01-01,46353.65569397
afa5ceca-,144,business,2019-06-29,2024-01-01,33247.35278347
91e62e7c-,144,savings,2017-09-16,2024-01-01,46509.55170148
d2345d72-,144,checking,2022-07-16,2024-01-01,1767.2466644
84e64726-,145,business,2023-03-14,2024-01-01,8065.3865029
da172ee7-,146,checking,2021-06-26,2024-01-01,46514.87207241
8e27db25-,146,checking,2022-07-22,2024-01-01,8960.06228502
c0868cd4-,146,savings,2019-08-31,2024-01-01,28768.10007466
93da7a4e-,147,business,2023-06-26,2024-01-01,44929.76258313
21cd14c8-,147,checking,2022-08-28,2024-01-01,19808.46449006
70cefba2-,148,savings,2022-08-21,2024-01-01,39734.40617647
289ab037-,148,business,2023-06-14,2024-01-01,36484.01493462
21e1074d-,148,business,2023-08-29,2024-01-01,37527.37150149
54c12291-,149,savings,2021-02-21,2024-01-01,5786.60358054
e3c1bbe5-,149,savings,2023-12-18,2024-01-01,42095.05822305
0a348347-,150,business,2022-08-15,2024-01-01,38681.27701491
3503465d-,150,business,2020-02-13,2024-01-01,20438.44941614
63482720-,151,savings,2023-11-07,2024-01-01,32072.02442283
b1c8bcde-,151,checking,2023-08-14,2024-01-01,25039.56934943
b9e27b2a-,152,business,2022-12-10,2024-01-01,47115.99940357
725c703d-,152,checking,2020-05-16,2024-01-01,10101.15444887
6915bb20-,153,business,2023-12-29,2024-01-01,19623.5629633
7f238fe4-,153,business,2020-10-22,2024-01-01,15473.59455455
5db4951b-,153,savings,2020-11-27,2024-01-01,35942.31810124
8e823604-,154,checking,2023-12-13,2024-01-01,8556.82722941
cd5bb636-,155,business,2022-10-21,2024-01-01,8559.56763955
8d809e3f-,155,checking,2023-02-14,2024-01-01,16517.2332054
7aaa6980-,155,savings,2022-04-03,2024-01-01,5484.50100612
43196e5f-,156,checking,2018-02-26,2024-01-01,18635.95737
f7b3204c-,156,checking,2023-01-16,2024-01-01,6009.33929155
34f6e974-,157,savings,2023-11-10,2024-01-01,22117.99628283
b10e1a7b-,158,business,2021-10-12,2024-01-01,26109.60157211
71955ea9-,158,savings,2020-09-05,2024-01-01,2286.83329665
648f1f93-,158,checking,2023-06-22,2024-01-01,28156.77046448
2c0de6ec-,159,business,2023-03-22,2024-01-01,39437.49748839
5a7aee74-,159,checking,2022-12-08,2024-01-01,1604.69012931
d57582ba-,159,checking,2023-06-27,2024-01-01,20002.17840954
a6b32d2a-,160,business,2022-10-02,2024-01-01,45155.66619797
e3203efd-,161,business,2018-07-18,2024-01-01,26534.12200741
632953dc-,162,checking,2022-03-12,2024-01-01,9305.58551701
e9f99e31-,162,checking,2020-11-20,2024-01-01,15755.43200338
9f50d4a6-,162,checking,2017-06-01,2024-01-01,8150.80621168
e06e3399-,163,checking,2021-06-21,2024-01-01,14522.13170852
507ecfda-,164,checking,2023-12-14,2024-01-01,39350.66458411
474062c6-,164,checking,2023-05-26,2024-01-01,13333.28715166
2c2e979b-,165,business,2021-12-02,2024-01-01,31626.65070068
58b1e180-,166,business,2019-10-09,2024-01-01,10581.86301913
d1fb4384-,166,savings,2021-11-29,2024-01-01,7638.98675835
a076b5e0-,166,savings,2018-07-09,2024-01-01,47492.34965733
0c3db3e5-,167,business,2021-05-09,2024-01-01,19614.60785121
3ac87ea3-,167,checking,2018-07-20,2024-01-01,22570.92315258
7fa17634-,168,business,2023-09-18,2024-01-01,48737.04344873
d46a1f83-,168,savings,2020-05-12,2024-01-01,15721.32894928
e874adee-,169,business,2020-08-10,2024-01-01,10841.7229464
050fa114-,169,checking,2020-10-12,2024-01-01,9704.22629464
365e9eed-,169,checking,2022-09-22,2024-01-01,48467.53586559
386f4047-,170,business,2019-07-26,2024-01-01,35052.93061593
2053fdbf-,170,checking,2017-03-06,2024-01-01,48420.3911887
aa91fd38-,171,checking,2019-03-01,2024-01-01,19426.70981388
230a538f-,172,checking,2023-03-03,2024-01-01,6580.50335699
695ba49b-,172,business,2023-09-12,2024-01-01,10790.20238682
476401df-,173,savings,2023-01-07,2024-01-01,34403.91902337
ccabede5-,173,business,2022-06-21,2024-01-01,2318.88932509
ba49b388-,173,business,2023-06-10,2024-01-01,23619.48891882
eb55feb0-,174,savings,2022-09-26,2024-01-01,22484.29276114
bdbffde5-,174,checking,2022-07-10,2024-01-01,41732.80862681
a2d07d81-,174,savings,2022-10-26,2024-01-01,41129.31283222
2bdde2f2-,175,business,2018-09-24,2024-01-01,25465.85754916
1c01498e-,175,business,2020-08-16,2024-01-01,15838.79948302
fbcdcf29-,176,business,2023-11-25,2024-01-01,8553.01848834
6f84f562-,176,checking,2022-03-13,2024-01-01,39664.76139778
af316c1c-,177,checking,2022-12-19,2024-01-01,49544.33010741
5c9550c8-,178,business,2020-12-25,2024-01-01,20639.44976914
354ccfbe-,178,business,2018-12-18,2024-01-01,46251.29194632
e0282d1f-,179,checking,2023-09-27,2024-01-01,27638.61496599
b05bda4c-,179,checking,2022-08-10,2024-01-01,35380.08006572
f7e620b4-,179,business,2020-03-10,2024-01-01,30097.17722439
c30a1b79-,180,savings,2020-12-16,2024-01-01,38678.74834808
4594b957-,181,business,2021-12-10,2024-01-01,18395.43215298
de30d8b5-,181,business,2020-12-29,2024-01-01,31021.21721335
998eef9f-,181,business,2022-11-10,2024-01-01,49196.80209165
e49b68ef-,182,business,2019-11-23,2024-01-01,20581.26956503
87c38c6b-,182,checking,2021-04-19,2024-01-01,48320.12210798
06632af1-,182,checking,2021-09-25,2024-01-01,6191.2830287
4c8a610f-,183,checking,2023-07-29,2024-01-01,11878.05289792
4414b502-,184,business,2021-11-20,2024-01-01,28341.67740081
d503b313-,184,business,2023-10-11,2024-01-01,29186.53451525
734433ef-,184,checking,2023-08-31,2024-01-01,19331.85882245
f6f59751-,185,business,2022-03-27,2024-01-01,29840.90787047
0733436a-,185,business,2022-12-27,2024-01-01,8386.50169152
0c2efe1e-,186,checking,2023-12-30,2024-01-01,6122.9185423
e32c578a-,187,savings,2023-09-02,2024-01-01,6687.39755999
acec952f-,187,business,2023-10-13,2024-01-01,7942.08366475
b187ec0f-,188,checking,2023-01-31,2024-01-01,23311.29912607
ebe496d1-,188,savings,2023-02-07,2024-01-01,26534.62666022
5d18fcb5-,189,checking,2022-10-22,2024-01-01,5783.52852516
47b8e3f2-,189,business,2022-09-29,2024-01-01,35141.40001066
81a159ff-,190,savings,2023-09-25,2024-01-01,15712.94007592
b3a9ae9a-,190,business,2023-08-02,2024-01-01,6639.17806824
b32abbc7-,191,business,2023-04-13,2024-01-01,6358.77140745
f2621123-,191,savings,2022-01-01,2024-01-01,46566.19987794
130bb15a-,192,savings,2023-09-02,2024-01-01,26283.70119295
67499238-,192,business,2022-04-04,2024-01-01,8846.64984955
9c6cc662-,192,business,2022-01-17,2024-01-01,21892.09979746
ccadae1d-,193,savings,2023-09-07,2024-01-01,40090.03362691
200613f2-,193,business,2023-03-21,2024-01-01,10038.13698242
559e1b73-,194,business,2023-08-04,2024-01-01,22174.58816903
61e875b2-,194,savings,2023-07-05,2024-01-01,37132.03010776
4d2ab6c9-,194,savings,2023-12-14,2024-01-01,23029.17555733
831622c2-,195,checking,2023-12-21,2024-01-01,1218.05212298
bf7d330f-,195,savings,2023-09-03,2024-01-01,11083.439489
406ef269-,196,savings,2023-08-30,2024-01-01,29290.04735489
f3c1b064-,196,business,2023-12-06,2024-01-01,10161.03194597
9fb62861-,196,checking,2023-08-23,2024-01-01,10656.63948223
0c8ab68c-,197,checking,2023-12-01,2024-01-01,33864.369983
2c30997a-,198,business,2022-02-23,2024-01-01,48329.90359751
dfb7b7ff-,198,checking,2023-04-15,2024-01-01,30251.57063487
b4dd8698-,199,checking,2021-12-08,2024-01-01,29763.2310137
ead2b5a5-,199,checking,2023-02-03,2024-01-01,18247.26129644
143ebda7-,199,checking,2021-07-01,2024-01-01,31250.77128748
321cebaa-,200,business,2023-06-27,2024-01-01,40230.05577605
70b824d6-,200,business,2023-12-14,2024-01-01,29918.2498839
4f462488-,200,business,2023-02-12,2024-01-01,7563.44071288
0fe785fe-,201,savings,2023-10-11,2024-01-01,15963.62012424
9f2bfb50-,202,checking,2020-02-06,2024-01-01,34978.39054411
57e53de6-,203,checking,2022-06-12,2024-01-01,21493.71620435
c7b1ae01-,203,savings,2022-10-25,2024-01-01,29165.49619885
a3e5a519-,203,checking,2022-06-02,2024-01-01,10101.93126535
23e836df-,204,business,2023-12-01,2024-01-01,34978.21339994
7f3ac679-,204,business,2023-01-29,2024-01-01,46604.05194756
5b8a47bf-,204,savings,2023-07-24,2024-01-01,28190.71621579
2bb05067-,205,checking,2023-11-05,2024-01-01,7874.53021979
8afd0cb0-,205,checking,2023-03-21,2024-01-01,42257.27549269
07392f0e-,206,savings,2023-06-11,2024-01-01,43410.58931196
2da0ad07-,206,savings,2022-01-23,2024-01-01,24745.83705284
7da46ac9-,206,savings,2021-08-30,2024-01-01,40945.58109204
